City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
220,amurzet,47.6967,131.0981,5.7000000000000455,68,100,5.02,RU,2023-04-18
221,conduaga,8.862,117.4893,26.700000000000045,78,20,1.31,PH,2023-04-18
222,bodaybo,57.8506,114.1933,-5.17999999999995,93,100,0.51,RU,2023-04-18
223,madang,-5.2246,145.7966,26.860000000000014,82,100,1.1,PG,2023-04-18
224,kiama,-34.6833,150.8667,22.54000000000002,69,84,0.45,AU,2023-04-18
225,battambang,13.1027,103.1982,27.360000000000014,78,12,2.09,KH,2023-04-18
226,yulinshi,38.2906,109.7494,16.700000000000045,56,9,7.95,CN,2023-04-18
227,twon-brass,4.3151,6.2418,28.03000000000003,80,72,2.88,NG,2023-04-18
228,carnarvon,-24.8667,113.6333,22.210000000000036,37,6,7.16,AU,2023-04-18
229,tolanaro,-25.0319,46.9987,23.04000000000002,94,40,4.12,MG,2023-04-18
230,touros,-5.1989,-35.4608,26.010000000000048,84,79,3.48,BR,2023-04-18
231,aksuat,48.7167,83.7,-3.609999999999957,51,23,3.18,KZ,2023-04-18
232,lima,-12.0432,-77.0282,26.060000000000002,72,0,7.2,PE,2023-04-18
233,yigo village,13.5361,144.8886,28.620000000000005,71,40,8.23,GU,2023-04-18
234,tsiombe,-25.3,45.4833,22.720000000000027,82,4,6.28,MG,2023-04-18
235,kirensk,57.7853,108.1119,-7.1299999999999955,71,100,4.29,RU,2023-04-18
236,horta,38.5333,-28.6333,13.900000000000034,78,72,1.34,PT,2023-04-18
237,muli,2.9167,73.5667,28.420000000000016,71,99,0.67,MV,2023-04-18
238,darwin,-12.4611,130.8418,23.360000000000014,73,0,2.57,AU,2023-04-18
239,vijayapuri,11.2333,77.5,25.930000000000007,64,2,0.15,IN,2023-04-18
240,vacha,55.8008,42.7706,5.010000000000048,88,49,1.99,RU,2023-04-18
241,christchurch,-43.5333,172.6333,16.379999999999995,84,75,4.12,NZ,2023-04-18
242,chernyshevskiy,63.0128,112.4714,-13.139999999999986,93,93,0.71,RU,2023-04-18
243,badger,64.8,-147.5333,-1.3799999999999955,55,75,6.17,US,2023-04-18
244,palmer,42.1584,-72.3287,10.840000000000032,55,75,3.6,US,2023-04-18
245,mulanje,-16.0316,35.5,17.110000000000014,94,19,1.83,MW,2023-04-18
246,pasuquin,18.3328,120.6177,26.970000000000027,83,75,1.54,PH,2023-04-18
247,tamanrasset,22.785,5.5228,22.950000000000045,9,0,6.69,DZ,2023-04-18
248,jamestown,42.097,-79.2353,2.6200000000000045,90,100,3.6,US,2023-04-18
249,kurud,20.8322,81.7214,28.27000000000004,21,66,1.0,IN,2023-04-18
250,lae,-6.7221,146.9847,28.090000000000032,74,77,1.33,PG,2023-04-18
251,la mira,18.035,-102.3266,29.010000000000048,56,25,4.3,MX,2023-04-18
252,leesville,31.1435,-93.261,22.24000000000001,60,100,4.63,US,2023-04-18
253,pambujan,12.5642,124.9276,25.860000000000014,90,94,1.81,PH,2023-04-18
254,howrah,22.5892,88.3103,30.0,89,40,3.09,IN,2023-04-18
